S.No,"Name, Address & email Id of the Unit",Contact Person Name & Contact No.,Category (Manufacturer / Supplier),Product Name,Stock in Hand (In Nos.),Production Capacity per Week ( In Nos.),Remarks
98,"M/s Amvotronics Pvt Ltd,No:160 SEETHAPATHY STREET
MADHAVARAM
CHENNAI 60sales.amvotronics@gmail.com",SATHYA9042027915,Supplier,KN95 Masks / N95 Masks,200,1000,"WE SUPPLY SAFETY EQUIPMENTS LIKE UV CHAMBER, UVC LIGHTS, FACE SHIELDS FOR FRONT LINE WORKERS"
99,"M/s Amvotronics Pvt Ltd,No:160 SEETHAPATHY STREET
MADHAVARAM
CHENNAI 60sales.amvotronics@gmail.com",SATHYA9042027915,Supplier,3Ply Surgical Masks,1000,100000,"WE SUPPLY SAFETY EQUIPMENTS LIKE UV CHAMBER, UVC LIGHTS, FACE SHIELDS FOR FRONT LINE WORKERS"
100,"M/s Amvotronics Pvt Ltd,No:160 SEETHAPATHY STREET
MADHAVARAM
CHENNAI 60sales.amvotronics@gmail.com",SATHYA9042027915,Supplier,PPE KITS,250,500,"WE SUPPLY SAFETY EQUIPMENTS LIKE UV CHAMBER, UVC LIGHTS, FACE SHIELDS FOR FRONT LINE WORKERS"
101,"M/s Kala Impex,NO. 10 - 2540, 2nd Floor, 2nd  Main Road, Vijayalakshmi Nagar, Kattupakkam, Chennai - 600056ragavans25@gmail.com",S. Ragavan9840985701,Manufacturer,KN95 Masks / N95 Masks,40000,50000,"we are very the very professional supplier of N 95 Masks PPE kit, Hand Sanitizer and Sanitizer Stand"
102,"M/s SAM TECHNOLOGY,14/69 Sathya Nagar
2nd cross Street, Padisamtechnology2020@gmail.com",Abishag sam9361350441,Supplier,KN95 Masks / N95 Masks,40000,10000,"Its Face Shield.
Head Clamp with Transparent Sheet"
103,"M/s SAM TECHNOLOGY,14/69 Sathya Nagar
2nd cross Street, Padisamtechnology2020@gmail.com",Abishag sam9361350441,Supplier,3Ply Surgical Masks,30000,5000,"Its Face Shield.
Head Clamp with Transparent Sheet"
104,"M/s Siva industries,No 300 village street sathuma nagar, thiruvottiyur, chennai 19sivaindustries.tvt@gmail.com",R.Durairaj9952913145,Manufacturer,Sanitizer (Alcohol Based),80,60,Sanitizer dispenser stand its a new one
105,"M/s LATITUDE X,NO 64, KHUTHUBI COMPLEX, FIRST AVENUE, VETTUVANKENI, CHENNAI 600115ganeshsathyas@gmail.com",GANESH KUMAR SATHYAMURTHI8072333877,Manufacturer,PPE KITS,2357,5000,"Certified by reputed doctors, we craft our renowned product to utmost Quality, Aesthetics.
With the possibilities of Bank Support 10,000 pieces per week can be achieved!"
106,"M/s LATITUDE X,NO 64, SHOP NO 1, KHUTHUBI COMPLEX, FIRST AVENUE, VETTUVANKENI, CHENNAI 600115ganeshsathyas@gmail.com",GANESH KUMAR SATHYAMURTHI8072333877,Manufacturer,Pillows,3000,7000,Our High Quality Products are provided for cheaper Costs. We are Acknowledged for the Absolute Standard. Customer Satisfaction is our Priority!
107,"M/s KALS INSTORE,No.127, D Block, 1st Main Road, Anna Nagar East, Chennai - 600 102kalsinstores@gmail.com",Priya9360900016,Supplier,Sanitizer (Alcohol Based),10000,10000,"We also supply Coverall, Surgeon gown, Patient gown, Gloves (Surgical/Nitrile/Latex/Examination), Bin Covers, Body bags and any other Disposables."
108,"M/s KALS INSTORE,No.127, D Block, 1st Main Road, Anna Nagar East, Chennai - 600 102kalsinstores@gmail.com",Priya9360900016,Supplier,KN95 Masks / N95 Masks,25000,10000,"We also supply Coverall, Surgeon gown, Patient gown, Gloves (Surgical/Nitrile/Latex/Examination), Bin Covers, Body bags and any other Disposables."
109,"M/s KALS INSTORE,No.127, D Block, 1st Main Road, Anna Nagar East, Chennai - 600 102kalsinstores@gmail.com",Priya9360900016,Supplier,3Ply Surgical Masks,50000,10000,"We also supply Coverall, Surgeon gown, Patient gown, Gloves (Surgical/Nitrile/Latex/Examination), Bin Covers, Body bags and any other Disposables."
110,"M/s KALS INSTORE,No.127, D Block, 1st Main Road, Anna Nagar East, Chennai - 600 102kalsinstores@gmail.com",Priya9360900016,Supplier,PPE KITS,25000,10000,"We also supply Coverall, Surgeon gown, Patient gown, Gloves (Surgical/Nitrile/Latex/Examination), Bin Covers, Body bags and any other Disposables."
111,"M/s Agnidh Enterprises,F2, First Floor, Subashree Apts, 105, Durai Arasan Street, Kaveri Rangan Street, Saligramam,Chennai - 600 093venks1808@gmail.com",Venkat B9841096186,Supplier,PPE KITS,500,1500,
112,"M/s Agnidh Enterprises,F2, First Floor, Subashree Apts, 105, Durai Arasan Street, Kaveri Rangan Street, Saligramam,Chennai - 600 093venks1808@gmail.com",Venkat B9841096186,Supplier,KN95 Masks / N95 Masks,3000,3000,
113,"M/s Agnidh Enterprises,F2, First Floor, Subashree Apts, 105, Durai Arasan Street, Kaveri Rangan Street, Saligramam,Chennai - 600 093venks1808@gmail.com",Venkat B9841096186,Supplier,3Ply Surgical Masks,25000,40000,
114,"M/s HAVL HI-TECH SOLUTIONS,715A, Spensor Plaza, Phase II, 7th Floor, Mount Road, Chennai-600002havlhitech@gmail.com",RGV9566029146,Supplier,Sanitizer (Alcohol Based),500,5000,We are manufacturer cum supplier of all COVID 19 Products
115,"M/s HAVL HI-TECH SOLUTIONS,715A, Spensor Plaza, Phase II, 7th Floor, Mount Road, Chennai-600002havlhitech@gmail.com",RGV9566029146,Supplier,KN95 Masks / N95 Masks,1000,100000,We are manufacturer cum supplier of all COVID 19 Products
116,"M/s HAVL HI-TECH SOLUTIONS,715A, Spensor Plaza, Phase II, 7th Floor, Mount Road, Chennai-600002havlhitech@gmail.com",RGV9566029146,Supplier,3Ply Surgical Masks,50000,500000,We are manufacturer cum supplier of all COVID 19 Products
117,"M/s HAVL HI-TECH SOLUTIONS,715A, Spensor Plaza, Phase II, 7th Floor, Mount Road, Chennai-600002havlhitech@gmail.com",RGV9566029146,Supplier,PPE KITS,500,100000,We are manufacturer cum supplier of all COVID 19 Products
118,"M/s HAVL HI-TECH SOLUTIONS,715A, Spensor Plaza, Phase II, 7th Floor, Mount Road, Chennai-600002havlhitech@gmail.com",RGV9566029146,Supplier,COVID TESTING KITS,50,5000,We are manufacturer cum supplier of all COVID 19 Products
119,"M/s Tcifreight,PrangudiPgd@tcifreight.in",Prem Kumar9383545021,Supplier,Multipara Monitors,2,10,Ok
120,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,PPE KITS,9,5000,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
121,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,KN95 Masks / N95 Masks,9,200000,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
122,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,3Ply Surgical Masks,9,100000,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
123,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,KN95 Masks / N95 Masks,1,100000,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
124,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,Fowler Cot,0,900,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
125,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,Hospital Matresses,0,900,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
126,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,Pillows,9,9000,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
127,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,Multipara Monitors,0,9000,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
128,"M/s Global Office Solutions, Brand Name:Ayush Safety Solutions,No.62, Flat No.A1, SMS Flats, VSM Garden Street, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu - 600083.ayushsafetysolutions@gmail.com",Duraivel C S9003253909,Supplier,Sanitizer (Alcohol Based),1,9000,"Ayush Safety Solutions is one of the Health safety equipment and PPE production and supply units, we have planned to expend our business, web: www.ayushsafety.com"
129,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,Fowler Cot,10,100,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
130,"M/s HARSHVIN HEALTH CARE PRODUCT,NO.13,14&15, ELIMS NAGAR, PALANJUR, PAPPANCHATHRAM, SEMBARAMBAKKAM POST, THIRUVALLUR, CHENNAI-600123harshvinkare@gmail.com",S.VINOTHKUMAR9500081517,Manufacturer,Sanitizer (Alcohol Based),1200,200000,
131,"M/s BIOGREEN ENTERPRISES,NO 9/142 B TYPE SIDCO NAGAR 47TH STREETprabhubiogreen@gmail.com",PRABHU M9841355500,Supplier,KN95 Masks / N95 Masks,100000,25000,WE WOULD LIKE TO SUPPORT ALL TYPE BRAND  PRODUCTS SINCE RECOMMENDED  QUALITY PRODUCT FOR RIGHT PURPOSE TO ALL COVID RELATED SAFETY MEASURES . WE ARE SUPPLYING FAST.
132,"M/s BIOGREEN ENTERPRISES,NO 9/142 B TYPE SIDCO NAGAR 47TH STREETprabhubiogreen@gmail.com",PRABHU M9841355500,Supplier,3Ply Surgical Masks,200000,100000,WE WOULD LIKE TO SUPPORT ALL TYPE BRAND  PRODUCTS SINCE RECOMMENDED  QUALITY PRODUCT FOR RIGHT PURPOSE TO ALL COVID RELATED SAFETY MEASURES . WE ARE SUPPLYING FAST.
133,"M/s BIOGREEN ENTERPRISES,NO 9/142 B TYPE SIDCO NAGAR 47TH STREETprabhubiogreen@gmail.com",PRABHU M9841355500,Supplier,PPE KITS,25000,15000,WE WOULD LIKE TO SUPPORT ALL TYPE BRAND  PRODUCTS SINCE RECOMMENDED  QUALITY PRODUCT FOR RIGHT PURPOSE TO ALL COVID RELATED SAFETY MEASURES . WE ARE SUPPLYING FAST.
134,"M/s BIOGREEN ENTERPRISES,NO 9/142 B TYPE SIDCO NAGAR 47TH STREETprabhubiogreen@gmail.com",PRABHU M9841355500,Supplier,COVID TESTING KITS,1000000,50000,WE WOULD LIKE TO SUPPORT ALL TYPE BRAND  PRODUCTS SINCE RECOMMENDED  QUALITY PRODUCT FOR RIGHT PURPOSE TO ALL COVID RELATED SAFETY MEASURES . WE ARE SUPPLYING FAST.
135,"M/s Recurve Marketing,105; Govindappa Naicken street;shop no: G-15; Ground floor;Rajendra complex;Chennai-60003.gmmarketing573@gmail.com",Rajendra K Jain8939575566,Supplier,3Ply Surgical Masks,10000,100000,Good quality
136,"M/s OODA INDUSTRIAL PRODUCTS,No.1,Thiruvengada perumal Kovil street, Vengdamangalam,
Medavakkam, to ponmar road,Ponmar junctionooagvs@gmail.com",VIJAYAN9840338011,Manufacturer,Sanitizer (Alcohol Based),2000,10000,"sanitizer can be supply any pack sizes pls call us 9840338011,emeail us: ooagvs@gmail.com"
137,"M/s FLOPORT VALVES PVT LTD,SP-29/38, THIRD MAIN ROAD, AMBATTHUR INDUSTRIAL ESTATE, CHENNAI-600 058, TAMILNADUfloportvalves@gmail.com",G. HEMKUMAR9444055503,Manufacturer,Pillows,1000,10000,"WE MANUFACTURE COLD AND HOT GEL PACKS TO PRESERVE MEDICINES, SAMPLES ETC..."
138,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,KN95 Masks / N95 Masks,10000,200000,Payment : Immediate on Delivery
139,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,PPE KITS,10000,40000,Payment : Immediate on Delivery
140,"M/s TECHBIO SOLUTIONS,A1 deju plazavish@techbio.in",Vishnu9003900185,Supplier,COVID TESTING KITS,100,1000,"We can also supply sticky mats, Infrared thermometers, gloves, etc.,"
141,"M/s TECHBIO SOLUTIONS,A1 deju plazavish@techbio.in",Vishnu9003900185,Supplier,PPE KITS,10,100,"We can also supply sticky mats, Infrared thermometers, gloves, etc.,"
142,"M/s TECHBIO SOLUTIONS,A1 deju plazavish@techbio.in",Vishnu9003900185,Supplier,KN95 Masks / N95 Masks,10,1000,"We can also supply sticky mats, Infrared thermometers, gloves, etc.,"
143,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,Medical Oxygen,50,100,Payment : Immediate on Delivery
144,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,3Ply Surgical Masks,500000,1500000,Payment : Immediate on Delivery
145,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,Pillows,2000,6000,Payment : Immediate on Delivery
146,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,Hospital Matresses,1000,3000,Payment : Immediate on Delivery
147,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,COVID TESTING KITS,20000,2000000,Payment 100% with Order
148,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,Sanitizer (Alcohol Based),100000,500000,Units In Litres & Payment : Immediate on Delivery
149,"M/s Gujarat Machine Tools,Old No.135, Linghi Chetty Street, Chennai - 01gmtmadras@gmail.com",Bhupatlal Shyamal Shah9841285850,Supplier,VENTILATOR,0,100,"without medical certificate, we hope to get approval with in a week"
150,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,VENTILATOR,10,100,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
151,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,COVID TESTING KITS,1000,10000,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
152,"M/s LOTUS HEALTH CARE INDIA,OPP VAISHAVI COLLEGE ARUMBAKKAMarjunsince1986@gmail.com",Mr Arjun A G9524866888,Supplier,3Ply Surgical Masks,1000000,3000000,We have export quality ultrasonic fully automatic 3 ply surgical mask certified with reasonable rate.
153,"M/s NILAA APPARELS,No 4 ,Perumal koil Street , Nerkundram Chennai 600107.diruthayaraj@yahoo.in",Iruthayaraj9840066479,Manufacturer,KN95 Masks / N95 Masks,2000,20000,We are manufacturing 2 ply cotton masks.
154,"M/s Apsara Plastic Industries,Office: 21/23,Ibrahim Sait Street, Kondithope, Chennai-600001.
Works: 'KHANMIYAAN GARDEN' , S.no.48/2-B,Periyapalayam Road,Azhinjivakkam, Chennai-6000apsaraindia2001@gmail.com",K.Mohammed Sadiq9884044864,Manufacturer,Sanitizer (Alcohol Based),0,30000,We are manufactureing empty PET/HDPE bottles packing for Sanitizer/Hand wash/Antiseptic lotions/liquids
155,"M/s Punctual,No1B, Senthil Nagar Seevram thurai pakkam chennai 600096punctualprasad@gmail.com",Durga Prasad R7812847491,Supplier,KN95 Masks / N95 Masks,,,
156,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,KN95 Masks / N95 Masks,5000,25000,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
157,"M/s Hostcupid Web Solutions Private Limited,18, Bajanai Koil 2nd Street, Villivakkamshilpa@hostcupid.com",Shilpa9551900151,Supplier,Sanitizer (Alcohol Based),0,1000,We are starting Hand Sanitizer Supply and also we are manufacturing Hand Sanitizer Food Operated Dispenser.
158,"M/s HELINI Biomolecules,Plot.No.26, 2nd Avenue 7th cross street,
Khuthubi complex,
Vettuvankenihelinibiomolecules@gmail.com",Sankarapandian Selvaraj9382810333,Manufacturer,COVID TESTING KITS,10000,25000,Real-time PCR kit and Viral RNA purification kit
159,"M/s SAIFY TRADERS,NO.184-186, BHARATHI SALAI, PYCROFT ROAD, ROYAPETTAH, CHENNAI - 600 014INFO.SAIFYTRADERS@GMAIL.COM",MOHAMMED SABBIR8682902100,Supplier,Pillows,250,100,HOSPITAL MATTRESS WITH REXINE COVER
160,"M/s SAIFY TRADERS,NO.184-186, BHARATHI SALAI, PYCROFT ROAD, ROYAPETTAH, CHENNAI - 600 014INFO.SAIFYTRADERS@GMAIL.COM",MOHAMMED SABBIR8682902100,Supplier,Hospital Matresses,250,100,HOSPITAL MATTRESS WITH REXINE COVER
161,"M/s ADART PUBLICITY,4/3 Joseph first Street,Palavanthangal
Chennai - 600114prabir@adartpub.com",MR. SRIRAM CHELLAPPA9444079678,Manufacturer,Multipara Monitors,12,12,Biomedical EMS portable isolation pod provides safe isolation and transportation of infected / contaminated / suspected patients of COVID -19 and other infectious
162,"M/s SIDDARTH SERVICES,PLOT NO 1 TEACHERS COLONY, VETTUVANKANI, CHENNAI 600115siddharthservices@hotmail.com",V Damodara Kannan9444728890,Manufacturer,KN95 Masks / N95 Masks,5000,20000,
163,"M/s SIDDARTH SERVICES,PLOT NO 1 TEACHERS COLONY, VETTUVANKANI, CHENNAI 600115siddharthservices@hotmail.com",V Damodara Kannan9444728890,Manufacturer,PPE KITS,3000,10000,
164,"M/s NILAA  APPARELS,4, PERUMAL KOIL STREET. NERKUNDRAM . CHENNAI 600107diruthayaraj@yahoo.in",IRUTHAYARAJ9840066479,Manufacturer,KN95 Masks / N95 Masks,50000,50000,"2 PLY  WOVEN COTTEN MASKS REUSABLE .
3 PLY  CENTER LAYER WITH SPUN BASED PP.REUSABLE."
165,"M/s VEER FASHIONS,43 MS KOIL STREET, ROYAPURAM, CHENNAIINFO@VEERFASHIONS.COM",VIRAG JAIN8939721899,Supplier,3Ply Surgical Masks,100000,200000,DELIVERY TIME 4 DAYS SITRA CERTIFIED WITH AND WITHOUT NOSE PIN.
166,"M/s STHIRAA MED SYSTEMS,1/2 Kundrathur Main Road
Periyapanichery
Gerugambakkamsthiraamed@gmail.com",9444992393,Manufacturer,VENTILATOR,0,12,Manufacturing Medical Air Compressor for ventilator.  Air compressor is the prme mover for ventilator and providing medical grade air breathing air for the patient.
167,"M/s SIXTHSENSE ROBOTICS AND AUTOMATIONS PVT LTD,3A KSR NAGAR MTH ROAD, AMBATTUR,CHENNAI 600053sheeba@sixthsenserobotics.com",James PaulRaj9840993260,Manufacturer,VENTILATOR,0,10,Manufacturer of Mechanical ventilators
168,"M/s PLASTECH ENGINEERS,No. 1, SIDCO Industrial Estate, Guindy, Chennai - 600032plastechengineers@gmail.com",Rtn. UMESH KUMAR9884033959,Manufacturer,PPE KITS,70000,90000,"PET sheet film  for Medical FACE SHIELD in cut to size, PC Polycarbonate transparent sheet, PVC film in role form, Plastic Frame for FACE SHIELD in various design models."
169,"M/s SHANPLAST BUSINESS,33B  SOUTH PHASE, INDUSTRIAL ESTATE, GUINDY,CHENNAI -600032shanplastbusiness@gmail.com",Shanthi kumar9176344033,Manufacturer,PPE KITS,50000,30000,"FACE SHIELD , EYE PROTECTIVE GOGGLES, AEROSOL BOX / INCUBATOR HOOD, FACE MASK, HAND GLOVES, SOCIAL DISTANCING STICKERS"
170,"M/s Veer Fashions,43 M.s. Koil Street,
Royapuram,
Chennai - 600013info@veerfashions.com",Virag Jain8939721899,Supplier,3Ply Surgical Masks,500000,1500000,
171,"M/s GEMINI ENTERPRISES,No.7/1, PP MMn Koil Street, Chrompet, Chennai 600044gemini.in@gmail.com",Prakash9840040030,Manufacturer,PPE KITS,50,200,We are Manufacture of PPE Kits
172,"M/s GEMINI ENTERPRISES,No.26B/13, 5th Street, Pattaravakkam, Chennai 600098gemini.in@gmail.com",Prakash9840040030,Manufacturer,PPE KITS,50,500,We are manufacture of PPE Kits
173,"M/s GreenOcean Research Labs Pvt Ltd,76, 'Sai Padananda', 7th Street Poompuhar Nagar
Kolathur, Chennai - 600099info@greenocean.in",Sai Ram Mannar9840816990,Manufacturer,Multipara Monitors,200,200,"ASHA+ Handheld Bluetooth enabled multi vitals monitor measures  7 parameters: 12 Lead ECG, Auscultation/Stethoscope, Non-Contact Temperature, BP, SPO2, Pulse, Glucose"
174,"M/s GEMINI ENTERPRISES,No.89a, 5th Street, Pattaravakkam, Chennai 600098gemini.in@gmail.com",Prakash9840040030,Manufacturer,PPE KITS,50,600,We are Manufacture of PPE Kits
175,"M/s MORRISON LIFECARE PVT LTD,3 ANNA STREET
PADIKUPPAM
CHENNAI 600107morrisonslifecare@yahoo.co.in / email@morrisonslifecare.com",9677010126,Manufacturer,PPE KITS,2000,10000,500ml
176,"M/s ATRIUM MEDICAL TECHNOLOGIES,No: 80/18, First Floor, Ganapathy Nagar 1st St, Ekkatuthangal, Chennai, Tamil Nadu 600032sales@atriummeditech.com",Mr.Kumar krishnamoorthy9551266505,Manufacturer,VENTILATOR,5000,2500,"Biomedical accessories Manufacturer   O2 SENSOR , FLOW SENSOR ,ECG CABLES AND SPO2 SENSOR , TEMPERATURE PROBES etc...."
